Election: 2020 General
Jurisdiction:  DeKalb
Date:  2020-11-03 00:00:00
Registered Voters:  65009
Ballots Cast:  48258
Voter Turnout:  74
Active Precincts:  65

Contest: PRESIDENT  AND VICE PRESIDENT OF US
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 24643, 51.35, 
(Donald J. Trump (REP), 21905, 45.65, 
(Jo Jorgensen (LIB), 783, 1.63, 
(Howie Hawkins (GRN), 331, 0.69, 
WRITE-IN (NON), 170, 0.35, 
(Brian Carroll (ASP), 103, 0.21, 
(Gloria La Riva (PSL), 54, 0.11, 

Precinct: AFTON 01
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 278, 49.38, 
(Donald J. Trump (REP), 270, 47.96, 
(Jo Jorgensen (LIB), 12, 2.13, 
WRITE-IN (NON), 3, 0.53, 
(Gloria La Riva (PSL), 0, 0, 
(Howie Hawkins (GRN), 0, 0, 
(Brian Carroll (ASP), 0, 0, 

Precinct: CLINTON 01
Candidate Name,Total Votes,Vote %,
(Donald J. Trump (REP), 567, 58.39, 
(Joseph R. Biden (DEM), 370, 38.11, 
(Jo Jorgensen (LIB), 20, 2.06, 
(Howie Hawkins (GRN), 7, 0.72, 
(Brian Carroll (ASP), 5, 0.51, 
WRITE-IN (NON), 2, 0.21, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 01
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 605, 50.04, 
(Donald J. Trump (REP), 575, 47.56, 
(Jo Jorgensen (LIB), 20, 1.65, 
WRITE-IN (NON), 4, 0.33, 
(Howie Hawkins (GRN), 4, 0.33, 
(Brian Carroll (ASP), 1, 0.08, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 02
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 583, 52.29, 
(Donald J. Trump (REP), 499, 44.75, 
(Jo Jorgensen (LIB), 21, 1.88, 
(Howie Hawkins (GRN), 5, 0.45, 
WRITE-IN (NON), 4, 0.36, 
(Brian Carroll (ASP), 3, 0.27, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 03
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 333, 49.33, 
(Donald J. Trump (REP), 322, 47.7, 
(Jo Jorgensen (LIB), 10, 1.48, 
(Howie Hawkins (GRN), 4, 0.59, 
WRITE-IN (NON), 3, 0.44, 
(Brian Carroll (ASP), 3, 0.44, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 04
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 218, 53.43, 
(Donald J. Trump (REP), 184, 45.1, 
(Jo Jorgensen (LIB), 4, 0.98, 
WRITE-IN (NON), 1, 0.25, 
(Howie Hawkins (GRN), 1, 0.25, 
(Brian Carroll (ASP), 0, 0, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 05
Candidate Name,Total Votes,Vote %,
(Donald J. Trump (REP), 170, 53.63, 
(Joseph R. Biden (DEM), 141, 44.48, 
(Jo Jorgensen (LIB), 3, 0.95, 
(Howie Hawkins (GRN), 3, 0.95, 
WRITE-IN (NON), 0, 0, 
(Brian Carroll (ASP), 0, 0, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 06
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 533, 52.98, 
(Donald J. Trump (REP), 438, 43.54, 
(Jo Jorgensen (LIB), 19, 1.89, 
(Howie Hawkins (GRN), 12, 1.19, 
WRITE-IN (NON), 4, 0.4, 
(Brian Carroll (ASP), 0, 0, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 07
Candidate Name,Total Votes,Vote %,
(Donald J. Trump (REP), 293, 58.13, 
(Joseph R. Biden (DEM), 201, 39.88, 
(Jo Jorgensen (LIB), 8, 1.59, 
(Howie Hawkins (GRN), 2, 0.4, 
WRITE-IN (NON), 0, 0, 
(Brian Carroll (ASP), 0, 0, 
(Gloria La Riva (PSL), 0, 0, 

Precinct: CORTLAND 08
Candidate Name,Total Votes,Vote %,
(Joseph R. Biden (DEM), 444, 55.78, 
(Donald J. Trump (REP), 334, 41.96, 
(Jo Jorgensen (LIB), 7, 0.88, 
WRITE-IN (NON), 4, 0.5, 
