"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Ayers","281","12","Republican","72"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Champaign 2","1640","12","Republican","229"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Mahomet 1","2320","12","Republican","312"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Mahomet 4","2244","12","Republican","365"
"10","0","CHAMPAIGN","0","Under Votes","1290","51ST SENATE","","0","12","Republican","597"
"10","0","CHAMPAIGN","0","Over Votes","1290","51ST SENATE","","0","12","Republican","0"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Condit","371","12","Republican","98"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Champaign 5","1721","12","Republican","0"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Tolono 1","1253","12","Republican","197"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Colfax","174","12","Republican","43"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","St Joseph 1","1230","12","Republican","221"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","City of Champaign 39","1194","12","Republican","69"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","City of Champaign 17","2206","12","Republican","0"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Brown Foosland","184","12","Republican","32"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Brown Fisher","1054","12","Republican","188"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","East Bend","449","12","Republican","112"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Philo","1310","12","Republican","234"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Sadorus Ivesdale","225","12","Republican","25"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","St Joseph 3","944","12","Republican","189"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Mahomet 5","1509","12","Republican","244"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Sadorus Sadorus","363","12","Republican","63"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","St Joseph 2","1527","12","Republican","239"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Newcomb","973","12","Republican","181"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","City of Champaign 34","2650","12","Republican","94"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","City of Champaign 37","2075","12","Republican","106"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Scott Bondville","377","12","Republican","68"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Tolono 2","1290","12","Republican","134"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Raymond","260","12","Republican","52"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Ogden 1","686","12","Republican","118"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Tolono 3","1040","12","Republican","191"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Hensley","682","12","Republican","111"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Mahomet 3","1479","12","Republican","144"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Urbana 1","367","12","Republican","3"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Pesotum","596","12","Republican","112"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Ludlow 1","377","12","Republican","77"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Sidney","1134","12","Republican","208"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","South Homer","984","12","Republican","162"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Crittenden","242","12","Republican","71"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Scott Seymour","301","12","Republican","56"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Champaign 3","1774","12","Republican","193"
"10","0","CHAMPAIGN","1310","CHAPIN ROSE","1290","51ST SENATE","Mahomet 2","1202","12","Republican","215"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","RUTLEDGE","117","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","RUTLEDGE","117","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","RUTLEDGE","117","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","TUNBRIDGE","556","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","TUNBRIDGE","556","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","TUNBRIDGE","556","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","CLINTONIA 7","526","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","CLINTONIA 7","526","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","CLINTONIA 7","526","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","BARNETT","305","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","BARNETT","305","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","BARNETT","305","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","SANTA ANNA 2","770","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","SANTA ANNA 2","770","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","SANTA ANNA 2","770","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","NIXON","340","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","NIXON","340","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","NIXON","340","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","CLINTONIA 8","413","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","CLINTONIA 8","413","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","CLINTONIA 8","413","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","SANTA ANNA 3","233","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","SANTA ANNA 3","233","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","SANTA ANNA 3","233","11","Democrat","0"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","CREEK","360","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","CREEK","360","11","Democrat","0"
"20","0","DeWITT","0","Blank Ballots","1290","51ST SENATE","CREEK","360","11","Democrat","1"
"20","0","DeWITT","0","Over Votes","1290","51ST SENATE","HARP","254","11","Democrat","0"
"20","0","DeWITT","0","Under Votes","1290","51ST SENATE","HARP","254","11","Democrat","0"
