"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"105","16","CITY OF CHICAGO","50042","Write-In","1430","6TH REPRESENTATIVE","Ward 16 Precinct 26","583","11","Democratic","1"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 16 Precinct 26","583","11","Democratic","116"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 16 Precinct 26","583","11","Democratic","31"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 42 Precinct 38","823","11","Democratic","133"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 42 Precinct 38","823","11","Democratic","37"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 42 Precinct 41","851","11","Democratic","111"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 42 Precinct 41","851","11","Democratic","34"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 16 Precinct 33","638","11","Democratic","19"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 16 Precinct 33","638","11","Democratic","8"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 20 Precinct 29","799","11","Democratic","222"
"105","16","CITY OF CHICAGO","50042","Write-In","1430","6TH REPRESENTATIVE","Ward 20 Precinct 29","799","11","Democratic","1"
"105","16","CITY OF CHICAGO","0","Over Votes","1430","6TH REPRESENTATIVE","Ward 20 Precinct 29","799","11","Democratic","3"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 20 Precinct 29","799","11","Democratic","76"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 16 Precinct 10","654","11","Democratic","107"
"105","16","CITY OF CHICAGO","50042","Write-In","1430","6TH REPRESENTATIVE","Ward 16 Precinct 10","654","11","Democratic","1"
"105","16","CITY OF CHICAGO","0","Over Votes","1430","6TH REPRESENTATIVE","Ward 16 Precinct 10","654","11","Democratic","1"
"105","16","CITY OF CHICAGO","0","Under Votes","1430","6TH REPRESENTATIVE","Ward 16 Precinct 10","654","11","Democratic","24"
"105","16","CITY OF CHICAGO","1455","SONYA MARIE HARPER","1430","6TH REPRESENTATIVE","Ward 20 Precinct 06","434","11","Democratic","67"
"105","16","CITY OF CHICAGO","50042","Write-In","1430","6TH REPRESENTATIVE","Ward 20 Precinct 06","434","11","Democratic","3"
