Election: 2007 Consolidated
Jurisdiction:  Winnebago
Date:  2007-04-17 00:00:00
Registered Voters:  99678
Ballots Cast:  14264
Voter Turnout:  14
Active Precincts:  127

Election: 2007 Consolidated
Contest: W1 ALD LOVES PARK
Candidate Name,Total Votes,Vote %
GREGORY R. JURY (NP), 216, 99.08, 
Write-In (NP), 2, 0.92, 

Contest: W2 ALD LOVES PARK
Candidate Name,Total Votes,Vote %
JOHN PRUITT (NP), 235, 97.92, 
Write-In (NP), 5, 2.08, 

Contest: W3 ALD LOVES PARK
Candidate Name,Total Votes,Vote %
JANET B. NOVAK (NP), 248, 98.8, 
Write-In (NP), 3, 1.2, 

Contest: W4 ALD LOVES PARK
Candidate Name,Total Votes,Vote %
MICHAEL P. OWENS (NP), 261, 98.86, 
Write-In (NP), 3, 1.14, 

Contest: W5 ALD LOVES PARK
Candidate Name,Total Votes,Vote %
ROBERT A. MILLER (NP), 221, 97.36, 
Write-In (NP), 6, 2.64, 

Contest: CHERRY VALLEY TRST
Candidate Name,Total Votes,Vote %
SALLY M. HOLLEMBEAK (NP), 351, 30.76, 
STEPHEN APPELL (NP), 308, 26.99, 
LORI A. LAYE (NP), 282, 24.72, 
BRIAN J. RAWSON (NP), 195, 17.09, 
Write-In (NP), 5, 0.44, 

Contest: DURAND TRUSTEE
Candidate Name,Total Votes,Vote %
FRAN WALLER (NP), 113, 31.83, 
DAN WALDEN (NP), 110, 30.99, 
GAVIN BYL (NP), 95, 26.76, 
JOHN A. WELSH (NP), 36, 10.14, 
Write-In (NP), 1, 0.28, 

Contest: D2 MACHESNY PRK TRST
Candidate Name,Total Votes,Vote %
JERRY LEMMONS (NP), 332, 66.53, 
NICHOLAS D PUMILIA (NP), 167, 33.47, 
Write-In (NP), 0, 0, 

Contest: D5 MACHESNY PRK TRST
Candidate Name,Total Votes,Vote %
MARK LEE SORRENTINO (NP), 207, 96.73, 
Write-In (NP), 7, 3.27, 

Contest: D6 MACHESNY PRK TRST
Candidate Name,Total Votes,Vote %
BRAD SHIELDS (NP), 273, 57.11, 
ERICK C BECK (NP), 138, 28.87, 
DENNIS WENGER (NP), 67, 14.02, 
Write-In (NP), 0, 0, 

Contest: NEW MILLFORD PRES
Candidate Name,Total Votes,Vote %
BONNIE L. BEARD (NP), 88, 100, 
Write-In (NP), 0, 0, 

Contest: NEW MILLFORD TRUSTEE
Candidate Name,Total Votes,Vote %
TIMOTHY H. OWENS (NP), 63, 27.51, 
LINDA K. KRAUSE (NP), 61, 26.64, 
RODNEY M. ROOP (NP), 53, 23.14, 
PATRICIA K. EARLS (NP), 51, 22.27, 
Write-In (NP), 1, 0.44, 

Contest: PECATONICA TRUSTEE
Candidate Name,Total Votes,Vote %
BETSY DOTY (NP), 363, 31.62, 
DAVID T. WESTERVELT (NP), 292, 25.44, 
DEREK HOWARD (NP), 270, 23.52, 
WILLIAM H. SMULL (NP), 220, 19.16, 
Write-In (NP), 3, 0.26, 

Contest: WINNEBAGO TRUSTEE Race 140
Candidate Name,Total Votes,Vote %
TOBY MYERS (NP), 214, 35.97, 
ANITA TARGOSZ (NP), 192, 32.27, 
STAN MALIGRANDA (NP), 187, 31.43, 
Write-In (NP), 2, 0.34, 

Contest: WINNEBAGO TRUSTEE Race 150
Candidate Name,Total Votes,Vote %
VIVIAN GAINES (NP), 205, 99.51, 
Write-In (NP), 1, 0.49, 

Contest: S BELOIT MAYOR
Candidate Name,Total Votes,Vote %
RANDY KIRICHKOW (NP), 642, 73.88, 
TODD W. EDGE (NP), 226, 26.01, 
Write-In (NP), 1, 0.12, 

Contest: S BELOIT COMR
Candidate Name,Total Votes,Vote %
BOB REDIESK (NP), 581, 19.74, 
PAMELA J. CLIFTON (NP), 579, 19.67, 
ROBERT (BOB) STONE (NP), 445, 15.12, 
RYAN GRIFFIN, D.C. (NP), 399, 13.55, 
DONALD J. BARBER (NP), 383, 13.01, 
DONALD E ERGEN SR (NP), 283, 9.61, 
BRADLEY MEISENBURG (NP), 269, 9.14, 
Write-In (NP), 5, 0.17, 

Contest: ROCKTON TRUSTEE
Candidate Name,Total Votes,Vote %
SCOTT FRIDLY (NP), 675, 20.62, 
TRICIA DAVEY (NP), 632, 19.31, 
J. GARY COOPER (NP), 613, 18.73, 
TODD BYXBE (NP), 575, 17.57, 
SCOTT WALLACE (NP), 403, 12.31, 
LESTER PETERSON (NP), 368, 11.24, 
Write-In (NP), 7, 0.21, 

Contest: ROCKTON TRUSTEE 2Y
Candidate Name,Total Votes,Vote %
GAIL BEACH (NP), 741, 71.05, 
LAREE SALINE (NP), 301, 28.86, 
Write-In (NP), 1, 0.1, 

