Election: 2011 Consolidated
Jurisdiction:  Winnebago
Date:  2011-04-05 00:00:00
Registered Voters:  93360
Ballots Cast:  10395
Voter Turnout:  11
Active Precincts:  108

Election: 2011 Consolidated
Contest: LV PK WD 1 ALDERMAN
Candidate Name,Total Votes,Vote %
GREGORY R JURY (NP), 118, 67.43, 
HENRY A TORGESON JR (NP), 57, 32.57, 

Contest: LV PK WD 2 ALDERMAN Race 20
Candidate Name,Total Votes,Vote %
JOHNNY L PRUITT (NP), 120, 100, 

Contest: LV PK WD 2 ALDERMAN Race 30
Candidate Name,Total Votes,Vote %
CHARLES A FRYKMAN (NP), 108, 100, 

Contest: LV PK WD 3 ALDERMAN
Candidate Name,Total Votes,Vote %
JANET B NOVAK (NP), 112, 100, 

Contest: LV PK WD 4 ALDERMAN
Candidate Name,Total Votes,Vote %
JULIE A HOBEL (NP), 162, 56.06, 
MICHAEL P OWENS (NP), 127, 43.94, 

Contest: LV PK WD 5 ALDERMAN
Candidate Name,Total Votes,Vote %
MARK G PETERSON (NP), 127, 100, 

Contest: S BELOIT MAYOR
Candidate Name,Total Votes,Vote %
MICHAEL DUFFY (NP), 504, 57.27, 
MARILYN JOAN HARTLEY (NP), 376, 42.73, 

Contest: S BELOIT COMMISSIONER
Candidate Name,Total Votes,Vote %
LINDA L CHAMBERS (NP), 378, 12.17, 
JOHN A LA MENDOLA (NP), 324, 10.43, 
ALICE C SCHOONOVER (NP), 297, 9.57, 
DONALD J BARBER (NP), 255, 8.21, 
MAURICE KEHOE (NP), 249, 8.02, 
CYNTHIA J UDELL (NP), 241, 7.76, 
ROBERT J REDIESKE SR (NP), 207, 6.67, 
PAMELA J CLIFTON (NP), 190, 6.12, 
ILAH M TINDER (NP), 167, 5.38, 
THOMAS J HARTWIG (NP), 139, 4.48, 
ROBERT L HARTLEY (NP), 135, 4.35, 
JEANNE M NICHOLS (NP), 115, 3.7, 
ROBERT E STONE (NP), 98, 3.16, 
PATRICIA E HENTHORN (NP), 94, 3.03, 
REXFORD J CARL JR (NP), 88, 2.83, 
DONALD E ERGEN SR (NP), 76, 2.45, 
CAROLINE M BULLARD (NP), 52, 1.67, 

Contest: C V VILL TRUSTEE
Candidate Name,Total Votes,Vote %
SALLY M HOLLEMBEAK (NP), 203, 27.73, 
JO ANN G HUDSON (NP), 190, 25.96, 
STEPHEN J APPELL (NP), 179, 24.45, 
JAMES A COPPERNOLL (NP), 160, 21.86, 

Contest: DURAND VILL TRUSTEE
Candidate Name,Total Votes,Vote %
FRANCES E WALLER (NP), 77, 51.68, 
GAVIN S BYL (NP), 65, 43.62, 
JOHN A WELSH (NP), 6, 4.03, 
Write-in 40 (NP), 1, 0.67, 

Contest: DURAND VILL TRUSTEE UNEXP
Candidate Name,Total Votes,Vote %
MICHAEL A PARLAPIANO (NP), 68, 34.17, 
JODY L MEISSEN (NP), 66, 33.17, 
SHEILA A HOFFMAN (NP), 65, 32.66, 

Contest: M P D2 VILL TRUSTEE
Candidate Name,Total Votes,Vote %
KATHARINE S TAMMEN (NP), 350, 63.52, 
J LEMMONS (NP), 201, 36.48, 

Contest: M P D5 VILL TRUSTEE
Candidate Name,Total Votes,Vote %
TOM YOE (NP), 156, 65, 
THEODORE N CHABUCOS (NP), 84, 35, 

Contest: M P D6 VILL TRUSTEE
Candidate Name,Total Votes,Vote %
ERICK C BECK (NP), 133, 55.88, 
JOHN M ELLIOTT JR (NP), 105, 44.12, 

Contest: N M VILL PRESIDENT
Candidate Name,Total Votes,Vote %
BONNIE L BEARD (NP), 105, 92.92, 
CAROLYN A DONOVAN (NP), 8, 7.08, 
Write-In (NP), 0, 0, 

Contest: N M VILL TRUSTEE
Candidate Name,Total Votes,Vote %
LINDA K KRAUSE (NP), 74, 28.46, 
TIMOTHY OWENS (NP), 72, 27.69, 
ROBERT L HUMPHRIES (NP), 61, 23.46, 
RODNEY M ROOP JR (NP), 53, 20.38, 

Contest: PEC VILL TRUSTEE Race 170
Candidate Name,Total Votes,Vote %
RICHARD W SAGER (NP), 209, 39.81, 
TRICIA METZ (NP), 166, 31.62, 
THOMAS J HEISTER (NP), 150, 28.57, 

Contest: PEC VILL TRUSTEE Race 180
Candidate Name,Total Votes,Vote %
WILLIAM H SMULL (NP), 243, 100, 

Contest: ROCKTON VILL CLERK
Candidate Name,Total Votes,Vote %
BRENDA WARREN (NP), 370, 56.92, 
SHEILA K RITTER (NP), 176, 27.08, 
DANA ADAMS (NP), 104, 16, 

Contest: RTN VILL TRUSTEE
Candidate Name,Total Votes,Vote %
PATRICIA DAVEY (NP), 381, 21.78, 
CORY A MAGNUS (NP), 342, 19.55, 
ZACHARY M BAKER (NP), 318, 18.18, 
SCOTT WALLACE (NP), 289, 16.52, 
SCOTT T FRIDLY (NP), 285, 16.3, 
ZBIGNIEW SEKULA (NP), 134, 7.66, 

Contest: ROS VILL PRESIDENT
Candidate Name,Total Votes,Vote %
DAVID A KRIENKE (NP), 426, 45.95, 
SHARON L ATKINS (NP), 319, 34.41, 
STACY MALLICOAT (NP), 116, 12.51, 
DAVID D DE CARLO (NP), 66, 7.12, 

Contest: ROS VILL TRUSTEE
Candidate Name,Total Votes,Vote %
CAROL A GUSTAFSON (NP), 559, 28.13, 
DALE L KELLER (NP), 432, 21.74, 
ROBERT E BAXTER (NP), 392, 19.73, 
LOWELL D SMITH (NP), 316, 15.9, 
KEVORK A MURADIAN (NP), 288, 14.49, 

Contest: WIN VILL TRUSTEE
Candidate Name,Total Votes,Vote %
TOBY W MYERS (NP), 319, 29.46, 
VIVIAN M GAINES (NP), 270, 24.93, 
ANITA L TARGOSZ (NP), 252, 23.27, 
STAN K MALIGRANDA (NP), 242, 22.35, 

Contest: RKFD PK DST COMMISSIONER
Candidate Name,Total Votes,Vote %
DOUGLAS J BROOKS (NP), 2138, 100, 

Contest: SMNR PK DST COMMISSIONER
Candidate Name,Total Votes,Vote %
GLEN A WIEGERT (NP), 434, 46.22, 
PAMELA S HUTTING (NP), 377, 40.15, 
RICHARD J SCIBONA (NP), 128, 13.63, 

Contest: WINN PK DST COMMISSIONER
Candidate Name,Total Votes,Vote %
LISA G HODGES (NP), 549, 100, 

Contest: C V LIB TRUSTEE
Candidate Name,Total Votes,Vote %
DONNA M RIHA (NP), 762, 37.12, 
MICHAEL R HOLMES (NP), 685, 33.37, 
WILLIAM J SCARPACI (NP), 606, 29.52, 

Contest: N SUB LIB TRUSTEE
Candidate Name,Total Votes,Vote %
STEVEN F SINKIAWIC (NP), 2557, 35.85, 
STACIE J GENTRY (NP), 2405, 33.72, 
CHRISTINE CAUWELS (NP), 2171, 30.44, 

Contest: PEC LIB TRUSTEE
Candidate Name,Total Votes,Vote %
BARBARA O LIZER (NP), 437, 53.88, 
PATRICIA R DETERMAN (NP), 374, 46.12, 

Contest: TALCOTT LIB TRUSTEE
Candidate Name,Total Votes,Vote %
MARY R ZIMMERMAN (NP), 621, 37.39, 
NINA R HERZER (NP), 531, 31.97, 
WILLIAM G MIDGETT (NP), 509, 30.64, 

Contest: WINN LIB TRUSTEE
Candidate Name,Total Votes,Vote %
CHARLES R FRICKE (NP), 620, 37.51, 
PATRICIA J WAKELEY (NP), 567, 34.3, 
ALLAN R LEVANDOWSKI (NP), 466, 28.19, 

Contest: BOON/WINN RB TRUSTEE
Candidate Name,Total Votes,Vote %
ROBERT PHELPS (NP), 4868, 38.71, 
ANTHONY CAPRIOLA (NP), 4294, 34.15, 
ANNETTA PARKER (NP), 3412, 27.14, 

Contest: BOONE/WINN RGB TRUSTEE Race 340
Candidate Name,Total Votes,Vote %
DOUGLAS CHAPMAN (NP), 4888, 100, 

Contest: DeKALB RB TRUSTEE
Candidate Name,Total Votes,Vote %
LARRY FORSBERG (NP), 3, 60, 
MARSHALL G. HAYES II (NP), 2, 40, 

Contest: DeKALB RB TRUSTEE (DeKALB COUNTY)
Candidate Name,Total Votes,Vote %
JAMES J WILLRETT (NP), 3, 100, 

Contest: LEE/OGLE RB TRUSTEE
Candidate Name,Total Votes,Vote %
ROGER A. HICKEY (NP), 30, 56.6, 
