"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 17","1451","11","Democrat","411"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","GRIDLEY 02","725","11","Democrat","74"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 12","1088","11","Democrat","282"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 30","382","11","Democrat","180"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 05","631","11","Democrat","178"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 02","1542","11","Democrat","652"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 26","586","11","Democrat","112"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 19","1418","11","Democrat","373"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 03","945","11","Democrat","308"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","LEXINGTON 01","873","11","Democrat","134"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 14","1379","11","Democrat","621"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","HUDSON 01","926","11","Democrat","142"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","TOWANDA 01","1338","11","Democrat","220"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 06","627","11","Democrat","145"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 10","878","11","Democrat","219"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 28","947","11","Democrat","259"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","HUDSON 02","1026","11","Democrat","170"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 20","1198","11","Democrat","309"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 04","711","11","Democrat","207"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 08","1449","11","Democrat","762"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","YATES 01","188","11","Democrat","18"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","OLD TOWN 02","826","11","Democrat","122"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 07","1146","11","Democrat","364"
"64","0","McLEAN","1535","BENJAMIN WEBB","2420","105TH REPRESENTATIVE","NORMAL 25","1657","11","Democrat","325"
