"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  112","715","12","Republican","125"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  094","683","12","Republican","163"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  124","439","12","Republican","148"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  136","477","12","Republican","88"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  048","634","12","Republican","186"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  057","611","12","Republican","232"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  118","553","12","Republican","113"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  052","723","12","Republican","218"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  110","715","12","Republican","182"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  040","869","12","Republican","247"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  046","509","12","Republican","167"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  046","800","12","Republican","234"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  049","567","12","Republican","98"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","Milton  021","504","12","Republican","133"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  027","494","12","Republican","139"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  009","875","12","Republican","223"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  076","799","12","Republican","261"
"22","0","DuPAGE","1015","PETER BREEN","1850","48TH REPRESENTATIVE","York  131","285","12","Republican","70"
