"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 27 Precinct 27","925","11","Democratic","22"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 38 Precinct 06","873","11","Democratic","277"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 38 Precinct 09","841","11","Democratic","309"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 38 Precinct 12","799","11","Democratic","234"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 39 Precinct 26","752","11","Democratic","295"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 39 Precinct 29","485","11","Democratic","229"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 41 Precinct 06","778","11","Democratic","366"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 43 Precinct 36","459","11","Democratic","294"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 45 Precinct 13","612","11","Democratic","325"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 47 Precinct 41","832","11","Democratic","609"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 47 Precinct 44","856","11","Democratic","497"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 02 Precinct 17","915","11","Democratic","1"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 02 Precinct 20","993","11","Democratic","279"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 32 Precinct 40","797","11","Democratic","569"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 33 Precinct 03","1080","11","Democratic","47"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 39 Precinct 14","761","11","Democratic","394"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 40 Precinct 30","673","11","Democratic","335"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 43 Precinct 24","707","11","Democratic","353"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 43 Precinct 27","735","11","Democratic","474"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 44 Precinct 33","769","11","Democratic","632"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 44 Precinct 36","840","11","Democratic","588"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 44 Precinct 39","840","11","Democratic","573"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 47 Precinct 26","964","11","Democratic","730"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 47 Precinct 35","794","11","Democratic","528"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 01 Precinct 39","755","11","Democratic","435"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 32 Precinct 15","778","11","Democratic","478"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 32 Precinct 18","746","11","Democratic","412"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 40 Precinct 02","822","11","Democratic","367"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 40 Precinct 08","862","11","Democratic","632"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 41 Precinct 24","773","11","Democratic","228"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 41 Precinct 30","768","11","Democratic","307"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 44 Precinct 14","768","11","Democratic","507"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 45 Precinct 37","778","11","Democratic","330"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 47 Precinct 01","495","11","Democratic","353"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 02 Precinct 44","458","11","Democratic","272"
"105","16","CITY OF CHICAGO","250","MIKE QUIGLEY","290","5TH CONGRESS","Ward 30 Precinct 15","604","11","Democratic","261"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800042","1140","12","Republican","216"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800045","1050","12","Republican","140"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800030","1308","12","Republican","231"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800002","671","12","Republican","80"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800029","798","12","Republican","85"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400002","1048","12","Republican","203"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800011","1139","12","Republican","212"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8000066","576","12","Republican","127"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8900055","844","12","Republican","184"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800050","1333","12","Republican","187"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400017","1077","12","Republican","195"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800007","598","12","Republican","84"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800010","1310","12","Republican","202"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800016","1212","12","Republican","152"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800037","900","12","Republican","121"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800019","1188","12","Republican","166"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7900027","907","12","Republican","171"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8900057","850","12","Republican","140"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800046","941","12","Republican","130"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400016","813","12","Republican","158"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8900084","727","12","Republican","189"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800015","1169","12","Republican","178"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800021","816","12","Republican","46"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800012","930","12","Republican","363"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400012","971","12","Republican","156"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400009","713","12","Republican","132"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800008","1227","12","Republican","152"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400005","959","12","Republican","208"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800017","941","12","Republican","174"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800047","1017","12","Republican","161"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800032","1199","12","Republican","168"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800035","516","12","Republican","70"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800001","845","12","Republican","95"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800034","976","12","Republican","109"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800022","654","12","Republican","187"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800025","877","12","Republican","131"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8400001","1219","12","Republican","170"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8900035","1174","12","Republican","309"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800040","1063","12","Republican","140"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8900023","446","12","Republican","88"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800018","650","12","Republican","95"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","8200001","1118","12","Republican","4"
"16","0","COOK","245","TOM HANSON","290","5TH CONGRESS","7800006","1349","12","Republican","170"
