Election: 2010 General Primary
Jurisdiction:  Winnebago
Date:  2010-03-12 00:00:00
Registered Voters:  91635
Ballots Cast:  11220
Voter Turnout:  12
Active Precincts:  108

Election: 2010 General Primary
Contest: US Senate
Candidate Name,Total Votes,Vote %
D
DAVID HOFFMAN , 1356, 36.79, 
ALEXI GIANNOULIAS , 1247, 33.83, 
CHERYLE JACKSON , 613, 16.63, 
ROBERT MARSHALL , 354, 9.6, 
JACOB J. MEISTER , 110, 2.98, 
Write-in 70 , 6, 0.16, 
G
LeALAN JONES , 61, 100, 
R
MARK KIRK , 4709, 45.82, 
PATRICK HUGHES , 2886, 28.08, 
KATHLEEN THOMAS , 840, 8.17, 
DON LOWERY , 790, 7.69, 
ANDY MARTIN , 757, 7.37, 
JOHN ARRINGTON , 295, 2.87, 

Contest: Illinois Governor
Candidate Name,Total Votes,Vote %
D
DANIEL  HYNES , 2218, 58.63, 
PAT QUINN , 1553, 41.05, 
Write-in 50 , 12, 0.32, 
G
RICH WHITNEY , 61, 100, 
R
BILL BRADY , 2865, 27.22, 
KIRK DILLARD , 2288, 21.74, 
ANDY McKENNA , 2089, 19.85, 
ADAM ANDRZEJEWSKI , 1670, 15.87, 
JIM RYAN , 809, 7.69, 
DAN PROFT , 736, 6.99, 
BOB SCHILLERSTROM , 68, 0.65, 

Contest: Illinois Lieutenant Governor
Candidate Name,Total Votes,Vote %
D
SCOTT  COHEN , 1227, 35.69, 
MIKE BOLAND , 681, 19.81, 
THOMAS CASTILLO , 454, 13.21, 
ARTHUR  TURNER , 427, 12.42, 
TERRY LINK , 426, 12.39, 
RICKEY HENDON , 223, 6.49, 
G
DON CRAWFORD , 61, 100, 
R
JASON PLUMMER , 4476, 45.13, 
MATT MURPHY , 2555, 25.76, 
DON TRACY , 883, 8.9, 
BRAD COLE , 773, 7.79, 
DENNIS COOK , 620, 6.25, 
RANDY WHITE , 610, 6.15, 

Contest: Illinois Attorney General
Candidate Name,Total Votes,Vote %
D
LISA MADIGAN , 3565, 100, 
G
DAVID BLACK , 59, 100, 
R
STEVE KIM , 9168, 100, 

Contest: Sec of State
Candidate Name,Total Votes,Vote %
D
JESSE WHITE , 3586, 100, 
G
ADRIAN FROST , 63, 100, 
R
ROBERT ENRIQUEZ , 9209, 100, 

Contest: Illinois Comptroller
Candidate Name,Total Votes,Vote %
D
DAVID MILLER , 2072, 59.3, 
RAJA KRISHNAMOORTHI , 843, 24.13, 
CLINTON KRISLOV , 579, 16.57, 
G
ERIKA SCHAFER , 61, 100, 
R
JUDY BAAR TOPINKA , 4645, 45.81, 
BILL KELLY , 2877, 28.37, 
JIM DODGE , 2618, 25.82, 

Contest: State Treasurer
Candidate Name,Total Votes,Vote %
D
ROBIN KELLY , 2093, 60.7, 
JUSTIN OBERMAN , 1355, 39.3, 
G
SCOTT SUMMERS , 62, 100, 
R
DAN RUTHERFORD , 9388, 100, 

Contest: 16th Congressional District Representative
Candidate Name,Total Votes,Vote %
D
GEORGE GAULRAPP , 3364, 100, 
G
TERRY G. CAMPBELL , 62, 100, 
R
DON MANZULLO , 9939, 100, 

Contest: 16th Congressional District Committeewoman
Candidate Name,Total Votes,Vote %
D
LINDA McNEELY , 1746, 50.23, 
WENDY SCHNEIDER , 1730, 49.77, 

Contest: 16th Congressional District Committeeman
Candidate Name,Total Votes,Vote %
D
JOHN NELSON , 1831, 53.57, 
MARK PIETROWSKI , 1043, 30.51, 
SAMUEL MELEI , 544, 15.92, 
G
DAVID F. BLACK , 62, 100, 

Contest: 34th Legislative District State Senator
Candidate Name,Total Votes,Vote %
D
JENNI CACCIAPAGLIA , 2287, 100, 
R
DAVE SYVERSON , 5359, 100, 

Contest: 67th Representative District State Representative
Candidate Name,Total Votes,Vote %
D
CHARLES JEFFERSON , 353, 100, 
R
ROBERT BROKISH , 799, 100, 

Contest: 68th Representative District State Representative
Candidate Name,Total Votes,Vote %
D
MARLA WILSON , 1097, 54.47, 
PAUL WILLIAMS , 917, 45.53, 
G
GERRY WOODS , 26, 100, 
R
DAVE WINTERS , 2846, 58.43, 
JOHN M. CABELLO , 2025, 41.57, 

Contest: 69th Representative District State Representative
Candidate Name,Total Votes,Vote %
D
RAY PENDZINSKI , 674, 100, 
G
DANIEL (DAN) LINDSEY , 16, 100, 
R
JOE SOSNOWSKI , 1739, 60.51, 
THAD LOFFELMACHER , 609, 21.19, 
MICHELE CORIROSSI , 526, 18.3, 

Contest: 89th Representative District State Representative
Candidate Name,Total Votes,Vote %
R
JIM SACIA , 1628, 100, 

Contest: Regional Superintendent of Education Boone/Winnebago Region
Candidate Name,Total Votes,Vote %
R
LORI A. FANELLO , 9106, 100, 

Contest: Regional Superintendent of Education Lee/Ogle Region
Candidate Name,Total Votes,Vote %
R
AMY JO CLEMENS , 60, 100, 

Contest: Regional Superintendent of Education Dekalb County
Candidate Name,Total Votes,Vote %
R
GILBERT E. MORRISON , 9, 100, 

Contest: County Clerk
Candidate Name,Total Votes,Vote %
D
MARGIE MULLINS , 3501, 100, 
R
JOSEPH A. TERRELL , 9116, 100, 

Contest: County Treasurer
Candidate Name,Total Votes,Vote %
D
SUSAN GORAL , 3494, 100, 

Contest: County Sheriff
Candidate Name,Total Votes,Vote %
D
RICHARD MEYERS , 3405, 100, 
R
AARON BOOKER , 5455, 56.1, 
RANDY F. STURM , 4269, 43.9, 

Contest: County Board District 1 Member
Candidate Name,Total Votes,Vote %
D
WENDY SCHNEIDER , 408, 62.87, 
DAVID S. HASSEL , 241, 37.13, 
R
LYNNE A. STRATHMAN , 880, 40.26, 
ROBB FIRCH , 873, 39.94, 
RICHARD A. SNEATH , 433, 19.81, 

Contest: County Board District 2 Member
Candidate Name,Total Votes,Vote %
R
JIM WEBSTER , 927, 62.17, 
DAVE YESKE , 564, 37.83, 

Contest: County Board District 3 Member
Candidate Name,Total Votes,Vote %
D
DOUGLAS R. AURAND , 578, 100, 
R
GARY R. JURY , 1695, 100, 

Contest: County Board District 4 Member
Candidate Name,Total Votes,Vote %
R
DAVE FIDUCCIA , 532, 100, 

Contest: County Board District 5 Member
Candidate Name,Total Votes,Vote %
D
PAUL GORSKI , 382, 100, 

Contest: County Board District 5 Member Unexpired Term
Candidate Name,Total Votes,Vote %
D
A.C. &#039;DAVE&#039; DAVIS , 365, 100, 
R
WENDY OWANO , 811, 62.15, 
EUGENE S. BOLEK , 494, 37.85, 

Contest: County Board District 6 Member
Candidate Name,Total Votes,Vote %
D
PEARL HAWKS , 109, 100, 

Contest: County Board District 7 Member
Candidate Name,Total Votes,Vote %
D
ANGELA &#039;ANGIE&#039; GORAL , 89, 75.42, 
GERALD O. ALBERT , 29, 24.58, 

Contest: County Board District 8 Member
Candidate Name,Total Votes,Vote %
D
MELVIN PARIS , 506, 98.83, 
Write-in 20 , 6, 1.17, 
R
JENN TATE , 800, 100, 

Contest: County Board District 9 Member
Candidate Name,Total Votes,Vote %
D
CAROLYN E. GARDNER , 248, 100, 
R
TED BIONDO , 593, 100, 

Contest: County Board District 10 Member
Candidate Name,Total Votes,Vote %
D
CHIGOZIE ACHEBE , 56, 100, 
R
JOHN EKBERG , 223, 100, 

Contest: County Board District 13 Member
Candidate Name,Total Votes,Vote %
D
BOB G. HASTINGS , 5, 100, 
R
JOHN M. GUEVARA , 3, 100, 

Contest: County Board District 14 Member
Candidate Name,Total Votes,Vote %
R
FRANK GAMBINO , 346, 100, 

Contest: 2nd Judicial District Appellate Court Judge - vacancy Hon. Thomas E. Callum
Candidate Name,Total Votes,Vote %
R
ANN B. JORGENSEN , 5937, 63.09, 
KENNETH MOY , 3473, 36.91, 

Contest: 2nd Judicial District Appellate Court Judge - vacancy Hon. Barbara Gilleran-John
Candidate Name,Total Votes,Vote %
R
DONNA KATHRYN KELLY , 4989, 54.23, 
MARY S. SCHOSTOK , 4211, 45.77, 

Contest: Durand Township - Cemetery Question
Candidate Name,Total Votes,Vote %
N
NO , 196, 60.12, 
YES , 130, 39.88, 

Contest: Owen Township Road Referendum
Candidate Name,Total Votes,Vote %
N
NO , 329, 57.32, 
YES , 245, 42.68, 

