




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Antioch 1                     1301                          218                           16.76%
Antioch 2                     1204                          251                           20.85%
Antioch 3                     1127                          253                           22.45%
Antioch 4                     1052                          340                           32.32%
Antioch 5                     1089                          299                           27.46%
Antioch 6                     1052                          219                           20.82%
Antioch 7                     1050                          283                           26.95%
Antioch 8                     1049                          267                           25.45%
Antioch 9                     1141                          243                           21.30%
Antioch 10                    850                           327                           38.47%
Antioch 11                    948                           245                           25.84%
Antioch 12                    816                           170                           20.83%
Antioch 13                    863                           183                           21.21%
Antioch 14                    908                           280                           30.84%
Antioch 15                    1198                          379                           31.64%
Antioch 16                    1161                          209                           18.00%
Antioch 17                    1120                          96                            8.57%
Avon 18                       1294                          30                            2.32%
Avon 19                       856                           24                            2.80%
Avon 20                       856                           23                            2.69%
Avon 21                       1076                          50                            4.65%
Avon 22                       859                           163                           18.98%
Avon 23                       915                           98                            10.71%
Avon 24                       1102                          42                            3.81%
Avon 25                       1026                          33                            3.22%
Avon 26                       1075                          48                            4.47%
Avon 27                       827                           28                            3.39%
Avon 28                       1026                          41                            4.00%
Avon 29                       845                           26                            3.08%
Avon 30                       1270                          44                            3.46%
Avon 31                       1158                          54                            4.66%
Avon 32                       1176                          122                           10.37%
Avon 33                       842                           64                            7.60%
Avon 34                       990                           92                            9.29%
Avon 35                       918                           84                            9.15%
Avon 36                       1072                          77                            7.18%
Avon 37                       1184                          36                            3.04%
Avon 38                       1062                          44                            4.14%
Avon 39                       971                           186                           19.16%
Avon 40                       694                           46                            6.63%
Avon 41                       1207                          193                           15.99%
Avon 42                       943                           195                           20.68%
Avon 43                       877                           102                           11.63%
Avon 44                       951                           128                           13.46%
Avon 45                       697                           121                           17.36%
Avon 46                       787                           161                           20.46%
Avon 47                       940                           99                            10.53%
Avon 48                       786                           86                            10.94%
Avon 49                       938                           148                           15.78%
Avon 50                       924                           217                           23.48%
Benton 51                     899                           179                           19.91%
Benton 52                     939                           269                           28.65%
Benton 53                     878                           231                           26.31%
Benton 54                     1073                          133                           12.40%
Benton 55                     862                           156                           18.10%
Benton 56                     907                           165                           18.19%
Benton 57                     853                           37                            4.34%
Benton 58                     1022                          52                            5.09%
Benton 59                     1215                          68                            5.60%
Benton 60                     995                           74                            7.44%
Benton 61                     954                           37                            3.88%
Benton 62                     801                           29                            3.62%
Benton 63                     841                           24                            2.85%
Cuba 64                       707                           39                            5.52%
Cuba 65                       919                           197                           21.44%
Cuba 66                       865                           147                           16.99%
Cuba 67                       662                           72                            10.88%
Cuba 68                       785                           227                           28.92%
Cuba 69                       983                           304                           30.93%
Cuba 70                       721                           99                            13.73%
Cuba 71                       910                           165                           18.13%
Cuba 72                       745                           141                           18.93%
Cuba 73                       1013                          225                           22.21%
Cuba 74                       988                           84                            8.50%
Cuba 75                       776                           253                           32.60%
Cuba 76                       949                           198                           20.86%
Cuba 77                       1118                          287                           25.67%
Ela 78                        746                           24                            3.22%
Ela 79                        974                           35                            3.59%
Ela 80                        1000                          35                            3.50%
Ela 81                        1203                          257                           21.36%
Ela 82                        1107                          50                            4.52%
Ela 83                        1085                          28                            2.58%
Ela 84                        745                           13                            1.74%
Ela 85                        769                           24                            3.12%
Ela 86                        981                           49                            4.99%
Ela 87                        1144                          37                            3.23%
Ela 88                        894                           62                            6.94%
Ela 89                        964                           35                            3.63%
Ela 90                        930                           41                            4.41%
Ela 91                        812                           23                            2.83%
Ela 92                        952                           45                            4.73%
Ela 93                        823                           33                            4.01%
Ela 94                        940                           41                            4.36%
Ela 95                        1051                          22                            2.09%
Ela 96                        1012                          44                            4.35%
Ela 97                        919                           33                            3.59%
Ela 98                        808                           29                            3.59%
Ela 99                        1389                          38                            2.74%
Ela 100                       1259                          62                            4.92%
Ela 101                       1338                          527                           39.39%
Ela 102                       1189                          81                            6.81%
Ela 103                       993                           35                            3.52%
Ela 104                       1041                          215                           20.65%
Ela 105                       1119                          35                            3.13%
Fremont 106                   866                           25                            2.89%
Fremont 107                   1005                          26                            2.59%
Fremont 108                   995                           192                           19.30%
Fremont 109                   888                           193                           21.73%
Fremont 110                   412                           114                           27.67%
Fremont 111                   1484                          189                           12.74%
Fremont 112                   1876                          219                           11.67%
Fremont 113                   1249                          58                            4.64%
Fremont 114                   1031                          71                            6.89%
Fremont 115                   1143                          124                           10.85%
Fremont 116                   796                           99                            12.44%
Fremont 117                   956                           88                            9.21%
Fremont 118                   739                           99                            13.40%
Fremont 119                   893                           165                           18.48%
Fremont 120                   809                           93                            11.50%
Fremont 121                   642                           103                           16.04%
Fremont 122                   767                           67                            8.74%
Fremont 123                   1192                          120                           10.07%
Fremont 124                   877                           74                            8.44%
Fremont 125                   1300                          196                           15.08%
Fremont 126                   989                           75                            7.58%
Grant 127                     890                           88                            9.89%
Grant 128                     1020                          150                           14.71%
Grant 129                     670                           83                            12.39%
Grant 130                     930                           116                           12.47%
Grant 131                     858                           80                            9.32%
Grant 132                     1199                          123                           10.26%
Grant 133                     1035                          111                           10.72%
Grant 134                     971                           86                            8.86%
Grant 135                     999                           71                            7.11%
Grant 136                     937                           78                            8.32%
Grant 137                     1036                          85                            8.20%
Grant 138                     1023                          70                            6.84%
Grant 139                     823                           120                           14.58%
Grant 140                     811                           49                            6.04%
Grant 141                     1272                          35                            2.75%
Grant 142                     1380                          82                            5.94%
Lake Villa 143                698                           58                            8.31%
Lake Villa 144                1158                          26                            2.25%
Lake Villa 145                950                           52                            5.47%
Lake Villa 146                795                           36                            4.53%
Lake Villa 147                1092                          61                            5.59%
Lake Villa 148                1006                          49                            4.87%
Lake Villa 149                683                           42                            6.15%
Lake Villa 150                1002                          45                            4.49%
Lake Villa 151                826                           55                            6.66%
Lake Villa 152                892                           49                            5.49%
Lake Villa 153                1072                          36                            3.36%
Lake Villa 154                1386                          49                            3.54%
Lake Villa 155                1081                          109                           10.08%
Lake Villa 156                1301                          64                            4.92%
Lake Villa 157                939                           37                            3.94%
Lake Villa 158                1078                          45                            4.17%
Lake Villa 159                1058                          33                            3.12%
Lake Villa 160                963                           57                            5.92%
Lake Villa 161                890                           19                            2.13%
Lake Villa 162                912                           42                            4.61%
Lake Villa 163                1265                          24                            1.90%
Lake Villa 164                1191                          70                            5.88%
Lake Villa 165                1104                          35                            3.17%
Lake Villa 166                1240                          51                            4.11%
Libertyville 167              970                           52                            5.36%
Libertyville 168              694                           307                           44.24%
Libertyville 169              940                           147                           15.64%
Libertyville 170              1026                          82                            7.99%
Libertyville 171              1101                          70                            6.36%
Libertyville 172              1145                          94                            8.21%
Libertyville 173              1102                          102                           9.26%
Libertyville 174              921                           124                           13.46%
Libertyville 175              901                           26                            2.89%
